config,sel_beta,gce_q,sel_iters,top_tau,accuracy,macro_f1,noise_precision,noise_recall,noise_f1
beta=0.5,0.5,0.7,5,,0.5474,0.5444120747258665,0.7666666666666667,0.575,0.6571428571428571
beta=1.0,1.0,0.7,5,,0.4985,0.5007707733016821,0.7647058823529411,0.325,0.456140350877193
beta=1.5,1.5,0.7,5,,0.496,0.4933072176163953,0.8333333333333334,0.125,0.21739130434782608
beta=2.0,2.0,0.7,5,,0.4973,0.49272114690687774,1.0,0.1,0.18181818181818182
q=0.3,1.0,0.3,5,,0.4984,0.5007885060416263,0.7647058823529411,0.325,0.456140350877193
q=0.5,1.0,0.5,5,,0.4983,0.5006775896079176,0.7647058823529411,0.325,0.456140350877193
q=0.7,1.0,0.7,5,,0.4985,0.5007707733016821,0.7647058823529411,0.325,0.456140350877193
q=0.9,1.0,0.9,5,,0.5051,0.5095590732716884,0.7647058823529411,0.325,0.456140350877193
iters=1,1.0,0.7,1,,0.4985,0.5007707733016821,0.7647058823529411,0.325,0.456140350877193
iters=3,1.0,0.7,3,,0.4985,0.5007707733016821,0.7647058823529411,0.325,0.456140350877193
iters=5,1.0,0.7,5,,0.4985,0.5007707733016821,0.7647058823529411,0.325,0.456140350877193
iters=10,1.0,0.7,10,,0.4985,0.5007707733016821,0.7647058823529411,0.325,0.456140350877193
tau=0.5,1.0,0.7,5,0.5,0.5268,0.5001201526200458,0.68,0.85,0.7555555555555556
tau=0.6,1.0,0.7,5,0.6,0.5214,0.4862757762372539,0.6166666666666667,0.925,0.74
tau=0.7,1.0,0.7,5,0.7,0.4232,0.3332778909866169,0.5428571428571428,0.95,0.6909090909090908
tau=0.8,1.0,0.7,5,0.8,0.3923,0.27632356367629207,0.4875,0.975,0.65
