k_shot,noise_rate,seed,method,accuracy,macro_f1,ece,noisy_test_acc
10,0.0,0,ProtoNet,0.6931,0.6911706327372111,0.5855070740938187,0.6931
10,0.0,0,CE-linear-probe,0.6969,0.6961633030107308,0.20500298256609414,0.6969
10,0.1,0,ProtoNet,0.6774,0.6747939788871081,0.5703039050094784,0.6115
10,0.1,0,CE-linear-probe,0.6531,0.6535769361144125,0.18488295264953583,0.5905
10,0.2,0,ProtoNet,0.6478,0.6436198920988223,0.5413182157054544,0.5245
10,0.2,0,CE-linear-probe,0.6102,0.6131626012247705,0.17256178767365477,0.4944
10,0.4,0,ProtoNet,0.5947,0.5815285404583286,0.489890886849165,0.3683
10,0.4,0,CE-linear-probe,0.467,0.4652207388670894,0.0875781611536928,0.2995
10,0.0,1,ProtoNet,0.6881,0.687782098860865,0.5803091967865825,0.6881
10,0.0,1,CE-linear-probe,0.6861,0.6858065075306474,0.19019587481518158,0.6861
10,0.1,1,ProtoNet,0.6782,0.6772246186016072,0.5714820284217597,0.6153
10,0.1,1,CE-linear-probe,0.6128,0.6109791114318941,0.14698270152140552,0.5558
10,0.2,1,ProtoNet,0.6396,0.6347229205493927,0.5335068783931434,0.5234
10,0.2,1,CE-linear-probe,0.5443,0.5355985188681726,0.10921267570664024,0.4469
10,0.4,1,ProtoNet,0.4767,0.4548653456874009,0.3714790310442448,0.3106
10,0.4,1,CE-linear-probe,0.4147,0.3809517102806982,0.013091544685830663,0.2728
10,0.0,2,ProtoNet,0.7202,0.7190880522574863,0.6125320223607122,0.7202
10,0.0,2,CE-linear-probe,0.7131,0.7116307908963104,0.20832834217594556,0.7131
10,0.1,2,ProtoNet,0.6831,0.6790310165108944,0.5761037417769432,0.6173
10,0.1,2,CE-linear-probe,0.6376,0.6314004339124161,0.15711836104523272,0.5769
10,0.2,2,ProtoNet,0.6444,0.6369117624939181,0.5380993671752512,0.5214
10,0.2,2,CE-linear-probe,0.5887,0.5780469477442775,0.13360117397177082,0.475
10,0.4,2,ProtoNet,0.5562,0.5435951706575027,0.4511861200325191,0.3509
10,0.4,2,CE-linear-probe,0.4637,0.463850153100047,0.06492703999067524,0.2933
1,0.4,0,ProtoNet,0.1,0.01818181818181818,nan,0.0937
1,0.4,0,CE-linear-probe,0.2574,0.2152077170242773,0.14503878726573394,0.1853
5,0.4,0,ProtoNet,0.5152,0.48032042672089104,0.409712508507818,0.3263
5,0.4,0,CE-linear-probe,0.4438,0.4089226837605161,0.08871075139408259,0.2917
20,0.4,0,ProtoNet,0.6404,0.6327006544290409,0.5357624662488698,0.4026
20,0.4,0,CE-linear-probe,0.4953,0.491264169183707,0.08054099645572298,0.3228
