k_shot,noise_rate,seed,method,accuracy,macro_f1,ece,noisy_test_acc,noise_precision,noise_recall,noise_f1,noise_auroc
10,0.0,0,selection-only,0.6456,0.6307855821128592,0.16078317998144614,0.6456,0.0,0.0,0.0,nan
10,0.0,0,robust-loss-only,0.7029,0.7020386632942424,0.11161883628918604,0.7029,,,,
10,0.0,0,full,0.6488,0.6333839890821966,0.06073232294051541,0.6488,0.0,0.0,0.0,nan
10,0.1,0,selection-only,0.6405,0.6405687637707361,0.172715543394086,0.5813,0.3076923076923077,0.4,0.34782608695652173,0.82
10,0.1,0,robust-loss-only,0.6601,0.6608353886741487,0.10042136807808294,0.5978,,,,
10,0.1,0,full,0.6446,0.6450446254475855,0.08002210039449614,0.5857,0.3076923076923077,0.4,0.34782608695652173,0.82
10,0.2,0,selection-only,0.6217,0.6215015977000321,0.17000863160413746,0.5044,0.6923076923076923,0.45,0.5454545454545455,0.886875
10,0.2,0,robust-loss-only,0.617,0.6208354569803161,0.09321833852727437,0.4984,,,,
10,0.2,0,full,0.6233,0.624132164169926,0.0820894697754522,0.5048,0.6923076923076923,0.45,0.5454545454545455,0.886875
10,0.4,0,selection-only,0.4988,0.5013729052742245,0.0941561364338807,0.3191,0.7647058823529411,0.325,0.456140350877193,0.85125
10,0.4,0,robust-loss-only,0.4758,0.47203327945704565,0.029273625249165457,0.304,,,,
10,0.4,0,full,0.4985,0.5007707733016821,0.022092068500307854,0.3189,0.7647058823529411,0.325,0.456140350877193,0.85125
10,0.0,1,selection-only,0.6718,0.6673153207405152,0.17868448521430896,0.6718,0.0,0.0,0.0,nan
10,0.0,1,robust-loss-only,0.6946,0.6947965231843405,0.09676460175657138,0.6946,,,,
10,0.0,1,full,0.6768,0.6712908992223456,0.07946208036121276,0.6768,0.0,0.0,0.0,nan
10,0.1,1,selection-only,0.6614,0.6579216098313734,0.17289360436503026,0.5998,0.5,0.8,0.6153846153846154,0.9588888888888889
10,0.1,1,robust-loss-only,0.622,0.6203298891863515,0.06308649981535595,0.564,,,,
10,0.1,1,full,0.6654,0.6610496557848602,0.07574165012371578,0.6041,0.5,0.8,0.6153846153846154,0.9588888888888889
10,0.2,1,selection-only,0.6185,0.6131939578891932,0.15856158364556203,0.5035,0.8,0.6,0.6857142857142857,0.934375
10,0.2,1,robust-loss-only,0.5572,0.5471644627046353,0.034724771482396305,0.4577,,,,
10,0.2,1,full,0.6302,0.6241177558175168,0.07225154194346994,0.5128,0.8,0.6,0.6857142857142857,0.934375
10,0.4,1,selection-only,0.424,0.3934082257437247,0.017225550274842086,0.2813,0.7333333333333333,0.275,0.4,0.6970833333333333
10,0.4,1,robust-loss-only,0.4267,0.3920732046964242,0.06612438735644852,0.2782,,,,
10,0.4,1,full,0.4306,0.39770511749375975,0.08253110202695675,0.2859,0.7333333333333333,0.275,0.4,0.6970833333333333
10,0.0,2,selection-only,0.703,0.6960969074682374,0.20083721945994248,0.703,0.0,0.0,0.0,nan
10,0.0,2,robust-loss-only,0.7173,0.7163813334346657,0.11073421316456954,0.7173,,,,
10,0.0,2,full,0.7086,0.7031376937052934,0.10076092605309055,0.7086,0.0,0.0,0.0,nan
10,0.1,2,selection-only,0.6799,0.6709889839011909,0.17623922006973444,0.6153,0.5833333333333334,0.7,0.6363636363636365,0.9333333333333333
10,0.1,2,robust-loss-only,0.656,0.6488839471599153,0.07058206732100436,0.5935,,,,
10,0.1,2,full,0.6791,0.6706686020022989,0.07512711561946878,0.6145,0.5833333333333334,0.7,0.6363636363636365,0.9333333333333333
10,0.2,2,selection-only,0.6317,0.6200163328895607,0.15943836177382695,0.5067,0.6153846153846154,0.4,0.4848484848484849,0.8825
10,0.2,2,robust-loss-only,0.6002,0.590106814245447,0.05467284211891908,0.4861,,,,
10,0.2,2,full,0.6383,0.6278275044944194,0.07150596559811258,0.5123,0.6153846153846154,0.4,0.4848484848484849,0.8825
10,0.4,2,selection-only,0.5068,0.49722674394813826,0.08635032215933913,0.3223,0.6923076923076923,0.225,0.339622641509434,0.7754166666666666
10,0.4,2,robust-loss-only,0.4701,0.4713893274825085,0.018609554838885982,0.2999,,,,
10,0.4,2,full,0.5133,0.5013333476708413,0.01506216886667099,0.3261,0.6923076923076923,0.225,0.339622641509434,0.7754166666666666
1,0.4,0,selection-only,0.2574,0.2152077170242773,0.14503878726573394,0.1853,0.0,0.0,0.0,0.8125
1,0.4,0,robust-loss-only,0.2206,0.17745312429227406,0.37525902612937095,0.1659,,,,
1,0.4,0,full,0.2206,0.17745312429227406,0.37525902612937095,0.1659,0.0,0.0,0.0,0.8125
5,0.4,0,selection-only,0.5142,0.4901546358460035,0.1458111140363602,0.3268,1.0,0.45,0.6206896551724138,0.8883333333333333
5,0.4,0,robust-loss-only,0.4481,0.4083329328825859,0.035387876662952,0.2939,,,,
5,0.4,0,full,0.5054,0.47834853029825364,0.04455158758875233,0.3247,1.0,0.45,0.6206896551724138,0.8883333333333333
20,0.4,0,selection-only,0.5285,0.5317433342654135,0.06763801691982495,0.3388,0.8275862068965517,0.3,0.44036697247706424,0.7845312500000001
20,0.4,0,robust-loss-only,0.5577,0.5521330646222812,0.061828136685166936,0.3568,,,,
20,0.4,0,full,0.5474,0.5482825725433764,0.021778621730575567,0.3526,0.8275862068965517,0.3,0.44036697247706424,0.7845312500000001
