method,noise_rate,n_seeds,accuracy,accuracy_std,macro_f1,macro_f1_std,ece,ece_std,noisy_test_acc,noisy_test_acc_std,noise_precision,noise_precision_std,noise_recall,noise_recall_std,noise_f1,noise_f1_std,noise_auroc,noise_auroc_std
CE-linear-probe,0,3,0.698700,0.011096,0.697867,0.010611,0.201176,0.007882,0.698700,0.011096,,,,,,,,
CE-linear-probe,0.1,3,0.634500,0.016598,0.631985,0.017395,0.162995,0.016021,0.574400,0.014276,,,,,,,,
CE-linear-probe,0.2,3,0.581067,0.027440,0.575603,0.031713,0.138459,0.026089,0.472100,0.019500,,,,,,,,
CE-linear-probe,0.4,3,0.448467,0.023915,0.436674,0.039406,0.055199,0.031177,0.288533,0.011409,,,,,,,,
ProtoNet,0,3,0.700467,0.014102,0.699347,0.014027,0.592783,0.014125,0.700467,0.014102,,,,,,,,
ProtoNet,0.1,3,0.679567,0.002520,0.677017,0.001736,0.572630,0.002503,0.614700,0.002406,,,,,,,,
ProtoNet,0.2,3,0.643933,0.003364,0.638418,0.003785,0.537641,0.003205,0.523100,0.001283,,,,,,,,
ProtoNet,0.4,3,0.542533,0.049133,0.526663,0.053078,0.437519,0.049298,0.343267,0.024166,,,,,,,,
full,0,3,0.678067,0.024430,0.669271,0.028513,0.080318,0.016353,0.678067,0.024430,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan
full,0.1,3,0.663033,0.014184,0.658921,0.010569,0.076964,0.002177,0.601433,0.011908,0.463675,0.115424,0.633333,0.169967,0.533191,0.131353,0.904074,0.060358
full,0.2,3,0.630600,0.006130,0.625359,0.001745,0.075282,0.004823,0.509967,0.003659,0.702564,0.075717,0.483333,0.084984,0.572006,0.084125,0.901250,0.023491
full,0.4,3,0.480800,0.036007,0.466603,0.048719,0.039895,0.030284,0.310300,0.017502,0.730116,0.029644,0.275000,0.040825,0.398588,0.047579,0.774583,0.062941
robust-loss-only,0,3,0.704933,0.009378,0.704406,0.008969,0.106373,0.006803,0.704933,0.009378,,,,,,,,
robust-loss-only,0.1,3,0.646033,0.017076,0.643350,0.016993,0.078030,0.016126,0.585100,0.015023,,,,,,,,
robust-loss-only,0.2,3,0.591467,0.025182,0.586036,0.030214,0.060872,0.024279,0.480733,0.017044,,,,,,,,
robust-loss-only,0.4,3,0.457533,0.021926,0.445165,0.037543,0.038003,0.020356,0.294033,0.011320,,,,,,,,
selection-only,0,3,0.673467,0.023463,0.664733,0.026726,0.180102,0.016383,0.673467,0.023463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan
selection-only,0.1,3,0.660600,0.016095,0.656493,0.012460,0.173949,0.001621,0.598800,0.013898,0.463675,0.115424,0.633333,0.169967,0.533191,0.131353,0.904074,0.060358
selection-only,0.2,3,0.623967,0.005622,0.618237,0.003617,0.162670,0.005202,0.504867,0.001347,0.702564,0.075717,0.483333,0.084984,0.572006,0.084125,0.901250,0.023491
selection-only,0.4,3,0.476533,0.037290,0.464003,0.049946,0.065911,0.034573,0.307567,0.018619,0.730116,0.029644,0.275000,0.040825,0.398588,0.047579,0.774583,0.062941
